"","Consensus_vector_0.15","1st_network","Region","Age_group","MODULAR","freq"
"1","1","DMN","Angular_L_1","Middle","Connector",0.149122807017544
"2","1","DMN","Angular_L_1","Middle","Provincial",0.798245614035088
"3","1","DMN","Angular_L_1","Middle","Satellite",0.0087719298245614
"4","1","DMN","Angular_L_1","Middle","Peripheral",0.043859649122807
"5","1","DMN","Angular_L_1","Old","Connector",0.232323232323232
"6","1","DMN","Angular_L_1","Old","Provincial",0.703703703703704
"7","1","DMN","Angular_L_1","Old","Satellite",0.0134680134680135
"8","1","DMN","Angular_L_1","Old","Peripheral",0.0505050505050505
"9","1","DMN","Angular_L_1","Young","Connector",0.216589861751152
"10","1","DMN","Angular_L_1","Young","Provincial",0.723502304147465
"11","1","DMN","Angular_L_1","Young","Satellite",0.0184331797235023
"12","1","DMN","Angular_L_1","Young","Peripheral",0.0414746543778802
"13","3","SMN","Cerebelum_6_R","Middle","Connector",0.0614035087719298
"14","3","SMN","Cerebelum_6_R","Middle","Provincial",0.0175438596491228
"15","3","SMN","Cerebelum_6_R","Middle","Satellite",0.56140350877193
"16","3","SMN","Cerebelum_6_R","Middle","Peripheral",0.359649122807018
"17","3","SMN","Cerebelum_6_R","Old","Connector",0.0774410774410774
"18","3","SMN","Cerebelum_6_R","Old","Provincial",0.0303030303030303
"19","3","SMN","Cerebelum_6_R","Old","Satellite",0.461279461279461
"20","3","SMN","Cerebelum_6_R","Old","Peripheral",0.430976430976431
"21","3","SMN","Cerebelum_6_R","Young","Connector",0.0921658986175115
"22","3","SMN","Cerebelum_6_R","Young","Provincial",0.0368663594470046
"23","3","SMN","Cerebelum_6_R","Young","Satellite",0.47926267281106
"24","3","SMN","Cerebelum_6_R","Young","Peripheral",0.391705069124424
"25","1","DMN","Cerebelum_Crus1_R_1","Middle","Connector",0.140350877192982
"26","1","DMN","Cerebelum_Crus1_R_1","Middle","Provincial",0.614035087719298
"27","1","DMN","Cerebelum_Crus1_R_1","Middle","Satellite",0.043859649122807
"28","1","DMN","Cerebelum_Crus1_R_1","Middle","Peripheral",0.201754385964912
"29","1","DMN","Cerebelum_Crus1_R_1","Old","Connector",0.164983164983165
"30","1","DMN","Cerebelum_Crus1_R_1","Old","Provincial",0.636363636363636
"31","1","DMN","Cerebelum_Crus1_R_1","Old","Satellite",0.0505050505050505
"32","1","DMN","Cerebelum_Crus1_R_1","Old","Peripheral",0.148148148148148
"33","1","DMN","Cerebelum_Crus1_R_1","Young","Connector",0.15668202764977
"34","1","DMN","Cerebelum_Crus1_R_1","Young","Provincial",0.557603686635945
"35","1","DMN","Cerebelum_Crus1_R_1","Young","Satellite",0.0829493087557604
"36","1","DMN","Cerebelum_Crus1_R_1","Young","Peripheral",0.202764976958525
"37","1","FPN","Cerebelum_Crus1_R_2","Middle","Connector",0.105263157894737
"38","1","FPN","Cerebelum_Crus1_R_2","Middle","Provincial",0.280701754385965
"39","1","FPN","Cerebelum_Crus1_R_2","Middle","Satellite",0.254385964912281
"40","1","FPN","Cerebelum_Crus1_R_2","Middle","Peripheral",0.359649122807018
"41","1","FPN","Cerebelum_Crus1_R_2","Old","Connector",0.158249158249158
"42","1","FPN","Cerebelum_Crus1_R_2","Old","Provincial",0.30976430976431
"43","1","FPN","Cerebelum_Crus1_R_2","Old","Satellite",0.154882154882155
"44","1","FPN","Cerebelum_Crus1_R_2","Old","Peripheral",0.377104377104377
"45","1","FPN","Cerebelum_Crus1_R_2","Young","Connector",0.138248847926267
"46","1","FPN","Cerebelum_Crus1_R_2","Young","Provincial",0.211981566820276
"47","1","FPN","Cerebelum_Crus1_R_2","Young","Satellite",0.225806451612903
"48","1","FPN","Cerebelum_Crus1_R_2","Young","Peripheral",0.423963133640553
"49","1","FPN","Cerebelum_Crus2_R","Middle","Connector",0.105263157894737
"50","1","FPN","Cerebelum_Crus2_R","Middle","Provincial",0.236842105263158
"51","1","FPN","Cerebelum_Crus2_R","Middle","Satellite",0.271929824561404
"52","1","FPN","Cerebelum_Crus2_R","Middle","Peripheral",0.385964912280702
"53","1","FPN","Cerebelum_Crus2_R","Old","Connector",0.158249158249158
"54","1","FPN","Cerebelum_Crus2_R","Old","Provincial",0.363636363636364
"55","1","FPN","Cerebelum_Crus2_R","Old","Satellite",0.175084175084175
"56","1","FPN","Cerebelum_Crus2_R","Old","Peripheral",0.303030303030303
"57","1","FPN","Cerebelum_Crus2_R","Young","Connector",0.129032258064516
"58","1","FPN","Cerebelum_Crus2_R","Young","Provincial",0.23963133640553
"59","1","FPN","Cerebelum_Crus2_R","Young","Satellite",0.248847926267281
"60","1","FPN","Cerebelum_Crus2_R","Young","Peripheral",0.382488479262673
"61","1","DMN","Cingulum_Ant_L_2","Middle","Connector",0.219298245614035
"62","1","DMN","Cingulum_Ant_L_2","Middle","Provincial",0.429824561403509
"63","1","DMN","Cingulum_Ant_L_2","Middle","Satellite",0.201754385964912
"64","1","DMN","Cingulum_Ant_L_2","Middle","Peripheral",0.149122807017544
"65","1","DMN","Cingulum_Ant_L_2","Old","Connector",0.255892255892256
"66","1","DMN","Cingulum_Ant_L_2","Old","Provincial",0.454545454545455
"67","1","DMN","Cingulum_Ant_L_2","Old","Satellite",0.144781144781145
"68","1","DMN","Cingulum_Ant_L_2","Old","Peripheral",0.144781144781145
"69","1","DMN","Cingulum_Ant_L_2","Young","Connector",0.184331797235023
"70","1","DMN","Cingulum_Ant_L_2","Young","Provincial",0.419354838709677
"71","1","DMN","Cingulum_Ant_L_2","Young","Satellite",0.258064516129032
"72","1","DMN","Cingulum_Ant_L_2","Young","Peripheral",0.138248847926267
"73","1","CON","Cingulum_Ant_L_3","Middle","Connector",0.307017543859649
"74","1","CON","Cingulum_Ant_L_3","Middle","Provincial",0.289473684210526
"75","1","CON","Cingulum_Ant_L_3","Middle","Satellite",0.315789473684211
"76","1","CON","Cingulum_Ant_L_3","Middle","Peripheral",0.087719298245614
"77","1","CON","Cingulum_Ant_L_3","Old","Connector",0.252525252525253
"78","1","CON","Cingulum_Ant_L_3","Old","Provincial",0.228956228956229
"79","1","CON","Cingulum_Ant_L_3","Old","Satellite",0.286195286195286
"80","1","CON","Cingulum_Ant_L_3","Old","Peripheral",0.232323232323232
"81","1","CON","Cingulum_Ant_L_3","Young","Connector",0.258064516129032
"82","1","CON","Cingulum_Ant_L_3","Young","Provincial",0.225806451612903
