"","Consensus_vector_0.15","Region","Value_MO","Value_YM","helper_vector","Middle","Old","Young","movers_tot"
"1","1","Angular_L_1_1",0.406411788132218,0.577532541029994,1,"Provincial","Provincial","Provincial",1
"2","3","Cerebelum_6_R_2",0.124111734751237,0.269059746139542,2,"Satellite","Satellite","Satellite",1
"3","1","Cerebelum_Crus1_R_1_3",0.217883418222977,0.342388228636106,3,"Provincial","Provincial","Provincial",1
"4","1","Cerebelum_Crus1_R_2_4",0.0575001095657575,0.152477969116339,4,"Peripheral","Peripheral","Peripheral",1
"5","1","Cerebelum_Crus2_R_5",0.0536825935807262,0.147627132346997,5,"Peripheral","Provincial","Peripheral",0
"6","1","Cingulum_Ant_L_2_6",0.0819313680094664,0.180249009620826,6,"Provincial","Provincial","Provincial",1
"7","1","Cingulum_Ant_L_3_7",0.0360376067789764,0.125919637804188,7,"Connector","Satellite","Satellite",0
"8","1","Cingulum_Ant_L_3_8",0.037067252686947,0.12951734174145,8,"Satellite","Satellite","Satellite",1
"9","3","Cingulum_Ant_L_4_9",0.0878907924748332,0.248605384428814,9,"Connector","Connector","Connector",1
"10","3","Cingulum_Ant_L_5_10",0.225763169736005,0.387581857870483,10,"Connector","Connector","Connector",1
"11","3","Cingulum_Ant_R_2_11",0.135647171583787,0.338547982860377,11,"Connector","Connector","Connector",1
"12","2","Cingulum_Mid_L_1_12",0.0509778845941834,0.148435605141887,12,"Connector","Connector","Satellite",0
"13","3","Cingulum_Mid_L_2_13",0.613391303827071,0.755922063222573,13,"Connector","Connector","Connector",1
"14","1","Cingulum_Mid_L_3_14",0.0661375661375661,0.206766917293233,14,"Satellite","Connector","Satellite",0
"15","1","Cingulum_Mid_L_3_15",0.068922305764411,0.206766917293233,15,"Satellite","Satellite","Satellite",1
"16","3","Cingulum_Mid_R_3_16",0.389147355191498,0.520616056269707,16,"Connector","Connector","Connector",1
"17","1","Cingulum_Post_L_17",0.0327700972862264,0.110599078341014,17,"Peripheral","Satellite","Satellite",0
"18","1","Frontal_Inf_Orb_R_2_18",0.0477380047272521,0.109062980030722,18,"Peripheral","Peripheral","Provincial",0
