	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	390.0517	58.6276	112.3239	107.4407	299.3505	105.9771	177.34	209.5409	578.1377	135.4875	178.1912	304.1837	96.7703	304.8079	311.1688	62.0776	342.9966	41.0781	317.652	82.4575	155.5221	104.7737	217.5889	121.4306	119.3309	0	173.5235	243.6904	213.4477	191.092	17.0641	182.6835	27.1256	243.0795	506.3246	37.5892	65.7603	5.7675	70.7312	0	274.637	229.1583	416.3955	245.8982	47.8984	282.2156	82.3474	54.8482	39.0806	197.23	79.5934	405.8705	514.2739	23.2559	133.4721	89.8863	217.8888	199.622	238.5477	59.4171	48.7585	283.1786	101.0911	273.3338	69.8345	228.8326	154.4677	128.6015	18.4113	295.1716	120.1517	306.3506	197.6006	82.8347	130.3319	448.5325	254.1745	110.6353	101.9398	88.4793	205.7056	86.1477	59.483	424.3731	483.1832	123.5436	386.4375	220.3185	95.7952	246.6809	518.9431	129.8718	589.6826	192.4121	195.1764	585.8677	0	85.7078	72.7417	321.9318	163.7773	90.0833	86.6204	22.606	77.6286	34.182	215.5449	302.7502	263.7679	185.2688	37.9089	421.2998	322.7808	34.5385	11.8207	422.1202	24.9233	93.3655	176.8983	149.1046	51.2853	252.029	187.6168	26.8428	422.0813	174.6362	123.6679	19.7289	218.578	25.8988	72.2064
Subject_002	657.7942	149.4699	124.459	87.926	233.2484	173.5133	298.8214	168.461	110.2702	11.6112	125.9969	111.3998	187.5718	101.0834	112.3725	184.7107	165.9939	123.2692	141.2013	4.9161	341.9454	256.8214	34.5494	169.456	187.0156	74.0732	209.6965	128.7304	205.9468	267.5307	150.5711	299.3285	11.6985	19.2545	311.3497	48.3279	95.6759	5.7953	141.3169	0	4.2927	123.841	213.4939	122.1809	56.8705	69.48	182.708	27.2062	19.0839	96.7845	62.2944	267.0938	98.3345	62.3412	162.3897	169.3342	121.4488	151.4581	122.1655	66.2928	109.5601	6.359	323.2938	58.7962	16.7801	300.9401	116.1173	394.3717	133.6049	216.6627	135.5083	67.9539	106.1609	9.3742	235.2205	299.5218	593.9497	134.5131	93.0563	110.3252	432.9726	147.3102	189.5415	40.4271	224.5831	119.2249	482.211	71.9678	306.9174	98.8351	323.6284	24.6699	236.2017	332.0467	312.1977	157.2437	139.8708	86.9083	457.4217	84.6464	166.9837	99.7445	79.1983	107.0582	196.2293	592.975	178.3636	88.1753	86.7115	320.4758	55.4452	154.7799	784.3405	120.7398	290.6206	266.732	293.1612	70.6164	799.8373	0	177.5551	486.3558	161.0351	216.2811	65.9104	298.8143	153.2058	98.9061	36.2371	41.2171	19.1296
Subject_003	145.8474	60.5766	117.5978	83.9199	121.6865	336.3807	236.6082	264.4004	134.6066	87.4986	349.8466	214.2718	61.7776	141.5254	209.082	134.6111	461.6957	59.7925	314.5777	23.6223	103.1397	49.0177	70.1924	56.7692	73.7079	0	121.7731	166.0143	273.0604	319.4606	46.8064	230.139	91.4176	112.4705	103.4308	174.4329	76.6635	0	546.8561	71.4332	13.3443	323.8696	632.9863	20.677	196.6297	26.9107	384.4285	77.3611	42.9675	498.8206	47.5559	152.3162	315.9213	78.7711	115.1017	81.4808	125.3887	154.5159	242.666	393.6648	79.4392	186.5764	61.9876	34.2759	0	198.0451	516.465	317.8841	103.9264	347.7821	55.3392	137.2464	184.0723	104.6127	103.5679	222.6255	146.7727	55.7022	9.1182	3.7863	84.0136	265.6336	3.6701	314.4206	714.5707	291.7988	331.7032	517.3067	279.8646	35.8664	509.7932	251.4311	518.0907	109.6486	160.7859	88.9176	44.8852	352.7782	52.9811	63.7487	180.6091	125.7783	50.0093	69.6531	40.4554	421.0622	238.0939	364.842	66.5509	14.9126	172.2362	477.9861	203.6331	33.1064	37.1138	113.9318	73.9534	152.8509	436.2061	90.9777	670.0608	190.0451	92.268	463.1508	69.8878	68.68	42.4789	100.4268	71.242	123.7222	62.8528
Subject_004	201.0335	50.4759	215.3826	0	0	89.5728	1115.9346	96.5209	377.2785	23.4873	11.9208	492.7524	264.8825	125.1189	126.2895	111.7182	6.2396	10.0265	121.804	160.5461	43.1174	52.57	39.593	14.4524	68.2257	1.7895	227.9652	514.7116	282.8163	30.4531	0	333.2858	0	77.9436	3.4742	38.099	24.3499	0	11.458	51.2258	241.912	59.6738	386.0718	23.8554	346.5478	264.0695	317.7774	0	181.9804	23.6257	54.8333	112.9001	97.8702	56.4888	59.323	99.5804	65.3745	84.2669	108.8227	198.843	94.6269	0.6467	0	44.4388	25.9656	245.8559	41.6759	176.89	268.13	423.4051	46.4129	21.247	188.8647	0	203.08	41.3288	31.712	34.2284	0	289.6468	147.1085	289.4992	750.2354	57.6923	322.8427	58.1265	369.9239	622.3782	0	816.4616	686.1011	464.6173	174.8965	79.9032	6.7949	435.2495	449.6686	301.3601	209.7901	0	317.8225	3.7115	7.1539	572.4833	0	241.1166	100.1887	11.3922	319.8552	0.52156	84.4784	311.7194	228.0669	147.0606	374.8866	514.4402	420.3775	48.4301	332.4913	80.6172	663.6675	242.288	265.3441	99.8948	415.7769	172.6172	450.5628	153.4465	41.8133	180.6544	357.9842
Subject_005	221.8708	105.1693	178.6288	155.3297	225.4852	239.8087	267.6938	316.9372	581.5281	73.3118	222.676	176.1275	101.4867	135.3918	373.4058	77.2871	90.2125	142.2516	120.5073	97.2216	110.3601	140.7991	409.4661	187.1196	254.5149	214.72	140.0453	143.2073	39.6964	24.2748	26.1741	212.1475	450.4782	82.1502	233.7579	344.6008	85.0843	33.6839	142.0988	19.5982	33.9656	277.665	331.6627	105.1819	65.5745	184.0765	206.5288	340.573	49.3482	47.6789	379.5984	187.9673	79.314	291.079	43.2775	270.1348	83.4108	289.7465	125.0331	23.5932	97.8149	117.5628	98.6405	125.378	18.9807	301.8088	309.3704	93.3027	40.9395	209.6348	108.5012	280.1391	64.9304	293.4894	182.3547	194.6242	59.5427	123.9629	132.7644	44.6601	23.4565	64.2136	0.71557	182.2673	288.8627	266.5085	88.4063	102.4732	343.2695	933.5555	347.544	268.1715	285.6617	85.0765	236.1545	144.4385	124.8683	310.628	229.8365	88.8885	184.3491	170.861	27.1982	131.4162	75.783	52.2616	160.2642	360.7402	527.4428	0	247.4684	295.6488	73.3984	60.204	171.6053	105.2633	355.9427	18.8253	107.8217	135.8278	154.8081	153.7345	198.2793	77.0429	161.5291	116.5443	202.8709	287.6603	33.2252	256.7397	74.1263
Subject_006	342.6225	3.1676	66.5594	7.0471	130.6672	264.8423	171.7617	70.6759	347.685	73.221	153.2314	90.8213	241.9526	518.7382	358.1802	319.541	271.2423	160.0641	185.5029	186.8803	451.4134	76.8942	166.1116	803.1361	44.2184	15.1282	61.3268	540.1353	310.8625	228.1493	213.3537	170.7663	71.3106	85.1982	333.4305	245.4361	9.4858	0	106.7961	158.1314	105.4486	90.2283	165.661	205.1333	179.3902	0	79.0008	378.8201	92.746	93.337	143.4551	307.03	266.8504	457.3908	149.3503	180.487	443.5513	317.8855	33.1485	112.9499	118.2566	211.5586	11.0809	272.5183	239.4508	216.4218	250.5074	489.8756	338.6999	348.2415	226.1096	145.0855	82.5571	0	313.7979	0	267.0972	0.3125	1.3636	14.5417	43.4773	7.0956	144.1044	508.5753	62.3328	115.0725	15.7561	272.5661	383.459	141.8399	380.4126	180.3541	560.2717	195.7977	254.5485	241.8965	150.0007	248.1122	171.0967	179.8845	35.1262	184.8581	21.0089	0	4.2727	329.2115	328.3099	71.5248	496.2317	2.7137	251.4315	73.9712	32.0284	25.1388	120.7288	275.4987	194.1798	181.4888	102.7121	51.5191	44.4495	120.1287	104.9168	89.7765	135.1716	0	115.6066	19.7378	191.6308	224.7611	12.1828
Subject_007	186.1586	0	0.91402	0	21.6799	438.0997	287.3923	436.7863	97.3891	183.3715	129.3347	181.8244	32.9391	317.1056	183.2037	116.9951	400.5974	543.669	116.1655	353.5423	219.1952	277.4618	61.7851	138.4848	140.1836	0	247.1136	109.5414	660.9311	391.5327	142.0992	1030.7751	264.4135	9.8354	127.0172	651.0296	36.5378	0	0	0	248	237.9298	396.4022	164.5178	1.5668	29.8522	44.4771	113.8354	252.4648	234.5595	174.1446	342.4197	0	414.734	262.8487	25.9438	16.1437	23.4706	226.3018	76.8739	231.1427	13.0612	0	232.6311	8.3155	255.3122	79.5178	157.543	21.3897	99.1999	484.8255	158.8408	31.9698	184.7604	142.8314	234.0913	215.7129	27.3993	56.3504	15.2236	1.1053	71.6844	37.1569	75.6893	355.4219	549.0222	510.4691	75.2861	136.8783	83.3844	96.7991	361.342	228.8515	104.4938	237.4343	66.4195	147.6288	338.8364	396.8241	88.0455	215.1842	114.1421	0	0	106.7697	690.0928	619.3613	135.477	90.6711	116.1397	51.3594	289.5316	188.8939	251.9473	138.4839	83.7388	54.6995	311.9953	422.8007	485.6609	16.3912	2.5725	199.7053	63.3019	917.4428	106.1169	0	0	26.5676	874.4697	0
Subject_008	390.14	70.7417	240.3577	77.6855	30.8095	54.9136	82.9805	109.8644	147.6914	410.6407	223.0477	114.2766	255.8619	212.2745	105.5154	138.7298	28.8663	125.0589	278.4304	273.0644	188.5552	172.1578	518.1939	475.3484	128.9354	49.2809	71.6541	246.3829	317.3932	486.0613	111.4184	602.7498	13.0495	97.6971	13.7745	168.1271	49.9325	0	6.5929	23.3516	3.3765	336.6052	262.7452	6.1985	146.6632	86.4488	11.6918	91.8337	23.4549	316.8839	155.4447	273.2689	217.4472	479.3317	99.6561	171.9578	113.9956	128.9932	87.1414	14.0694	22.0947	22.7763	78.5385	142.0041	0	82.8037	187.7151	92.4053	25.1116	298.7422	182.301	425.326	169.1823	127.844	384.9086	172.6527	356.0431	50.9819	182.0264	4.1558	45.8583	16.5784	20.1646	223.3302	105.4035	64.1205	195.0691	196.3817	91.1535	1110.0149	623.0601	91.7398	143.4049	406.7886	174.0068	117.8624	19.4632	817.3935	572.6616	633.7822	355.7741	284.4249	244.7126	147.6191	80.8126	135.4458	0.22222	127.4273	782.5444	402.9394	28.8281	2.7873	391.3429	309.369	143.6586	147.1272	2.9446	8.0054	665.8833	537.8462	28.9957	39.4781	10.8771	153.9987	584.1163	244.9092	39.3237	294.9502	377.2876	477.2215	146.4612
Subject_009	725.7874	0	106.069	149.4429	0	59.7049	209.3761	43.058	174.766	92.9422	150.7322	177.9047	271.7559	423.7732	27.7803	182.8202	412.4379	253.5566	298.0047	102.6521	521.5867	83.8421	233.8792	208.6262	180.3091	0.92747	113.8629	444.3517	53.6125	133.5343	151.4302	198.2867	61.2044	253.3607	134.81	17.5536	28.5966	0	48.4419	0	0	113.5621	311.9297	137.0505	1.6905	0	42.19	48.7126	163.7865	280.4291	5.3427	129.9322	41.4815	503.8684	246.1488	47.1445	0.40238	141.2816	0.23026	87.9735	23.3697	28.3199	0	52.0069	123.3292	373.8308	358.0772	157.217	0.85186	949.2695	356.0801	157.3423	53.9904	515.7012	158.9837	321.9123	142.5374	20.1898	393.0177	0	0	0	2	114.0486	92.814	44.3787	547.6005	19.9801	65.7386	463.7132	333.5875	14.7736	700.1415	85.1374	59.4016	306.8815	227.963	207.0235	82.2769	0	134.8696	263.9445	0	143.0514	0	126.7746	7.8612	619.8052	797.0108	34.2905	15.9746	0.16667	10.0068	43.3699	169.0074	885.0476	122.7689	475.0718	87.5796	232.67	464.8803	42.6506	140.8735	238	459.7076	225.5562	232.0123	170.5642	51.5686	33.4907	0
Subject_010	541.5202	337.6583	154.6708	83.1889	150.5783	107.931	272.6495	273.1402	375.8997	61.5286	75.5228	274.9583	88.1519	180.6908	126.6905	133.9583	239.0622	296.0913	257.5736	112.594	83.3502	289.3412	61.0626	73.8327	351.9252	12.4841	150.6259	75.3732	160.5829	188.8851	315.3985	469.4717	162.7581	116.3514	104.4227	213.4309	28.0153	0	208.5262	324.4228	0	302.1415	72.6246	310.8801	184.5049	420.6047	41.0173	266.8764	312.0627	140.5386	142.9567	65.0311	90.6205	138.5145	82.1717	213.0189	225.3964	174.0137	508.2535	35.9834	68.7547	135.2198	53.152	244.9176	61.0531	154.3469	246.8889	413.6025	137.3283	249.0611	60.02	73.49	112.4039	500.8197	273.2785	240.4208	204.0552	98.9671	140.9396	158.1248	70.565	97.0159	17.6203	212.0593	758.6848	363.4748	224.7823	174.1174	73.2914	274.6872	112.555	587.145	253.5946	290.0908	211.3342	251.4019	179.205	171.5079	214.1969	180.6097	112.2662	79.4307	125.4664	120.0935	13.4088	111.0296	409.4857	77.9533	388.1287	349	207.341	683.1593	146.9964	84.7153	49.3976	55.3585	39.4038	209.7438	309.9001	195.764	49.5578	319.2337	129.5718	30.7725	138.7169	0.7492	244.6127	0	2.9476	1.4796	0
