	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	29	10	22	18	25	28	27	38	34	29	40	36	19	35	27	23	22	29	37	25	24	19	30	29	28	11	34	27	30	22	14	31	17	27	21	14	13	8	17	7	13	22	40	24	16	21	14	31	24	20	15	29	30	26	30	28	25	29	39	23	29	26	15	36	22	40	28	21	17	38	35	30	22	15	23	22	24	29	11	23	34	20	17	44	43	35	40	46	23	33	40	25	49	35	37	42	8	30	25	22	27	19	12	24	17	25	24	28	25	23	18	31	36	11	16	33	27	18	38	30	24	32	38	26	21	26	28	15	34	27	24
Subject_002	32	14	24	15	28	35	36	36	32	22	17	36	26	25	22	27	29	22	28	16	31	27	23	26	33	20	33	25	26	32	21	29	10	17	21	21	18	11	19	8	12	35	23	27	18	28	27	23	25	16	14	25	26	12	18	12	21	26	37	30	31	29	17	12	16	23	26	33	19	36	32	17	17	12	44	33	48	20	14	25	29	37	23	20	33	39	43	29	41	35	43	19	33	36	39	35	24	42	32	35	16	11	11	18	20	31	27	35	27	28	29	21	50	10	42	29	30	27	43	26	31	37	31	21	31	35	23	17	25	18	7
Subject_003	30	28	31	22	28	31	32	20	18	26	40	32	12	24	27	26	34	22	34	14	26	19	22	17	19	12	21	27	29	34	15	25	24	26	20	26	26	8	25	14	8	32	36	20	27	20	29	29	26	35	28	16	25	25	17	14	30	25	40	44	28	36	23	26	13	33	30	32	27	36	23	30	14	22	32	21	18	10	6	20	16	28	17	32	54	39	26	57	40	31	45	35	36	29	35	39	20	35	28	24	36	18	12	29	16	37	34	35	29	24	34	35	33	12	23	27	28	16	28	30	38	17	27	33	20	12	14	18	20	9	24
Subject_004	27	8	11	6	4	22	56	33	50	15	11	36	38	35	26	22	12	22	39	35	32	28	22	18	25	7	33	10	40	18	7	37	7	17	14	23	13	4	9	10	21	26	41	20	35	11	21	5	18	11	14	36	27	30	38	36	34	23	25	24	29	16	4	13	13	35	28	30	15	31	32	21	31	8	38	20	27	25	3	46	30	44	60	24	42	30	52	27	10	52	38	16	27	22	11	36	14	47	42	6	35	17	12	41	1	30	33	9	34	15	17	26	36	23	40	44	42	12	41	30	46	37	36	35	48	25	49	40	22	47	10
Subject_005	24	24	15	25	23	25	29	28	38	30	30	29	21	29	32	20	12	32	25	14	24	19	31	28	31	22	19	36	21	14	13	25	24	14	23	27	17	9	22	15	16	31	31	20	25	26	26	28	33	36	38	29	25	25	19	34	22	37	40	33	37	34	36	37	16	28	26	24	29	43	35	25	21	30	23	25	19	28	17	21	13	21	9	22	32	36	20	40	39	38	45	35	30	26	36	36	37	37	30	33	38	27	12	15	17	18	21	28	26	18	28	24	22	20	20	23	25	19	38	22	21	18	27	20	24	25	27	33	23	30	15
Subject_006	30	13	27	6	18	31	31	25	31	23	29	24	32	29	38	35	25	25	28	31	34	23	27	49	21	11	14	33	25	31	22	26	27	21	33	24	23	4	31	31	28	29	20	34	23	6	25	35	17	24	19	27	34	33	23	28	35	27	25	26	24	40	15	37	36	37	24	35	37	33	39	26	25	8	32	13	31	15	12	15	22	9	18	38	26	35	19	43	35	26	36	30	38	30	28	21	32	27	26	18	26	30	24	9	18	25	33	23	33	14	29	18	20	17	35	29	32	29	16	18	16	29	37	23	27	13	26	26	35	29	17
Subject_007	29	4	15	7	17	27	49	53	38	44	36	43	9	54	18	18	43	43	29	32	36	52	26	38	35	23	33	43	43	31	30	55	35	31	19	35	18	4	8	1	7	29	35	12	17	14	9	25	39	35	14	37	4	29	22	12	16	18	25	18	17	14	2	20	6	37	20	34	31	31	35	23	33	20	29	16	22	23	27	16	7	20	15	16	22	46	42	33	48	35	43	44	50	37	49	35	36	48	48	38	42	23	10	5	17	7	29	23	28	26	13	30	18	14	19	17	12	18	50	25	19	10	46	19	19	22	7	2	12	30	5
Subject_008	37	13	38	14	18	19	30	28	27	28	35	27	24	29	20	23	31	21	20	20	30	25	24	23	26	14	16	34	38	44	17	23	13	29	20	36	26	3	11	4	5	27	32	10	20	25	26	33	32	46	27	23	18	28	22	18	19	21	39	33	36	32	37	47	1	13	25	19	14	41	42	31	17	21	42	31	28	16	24	13	15	17	19	32	38	40	20	44	37	52	28	31	26	52	46	40	14	36	49	49	23	18	7	13	12	8	16	18	48	39	40	9	37	27	21	15	15	15	27	33	26	40	18	29	49	34	20	10	19	27	16
Subject_009	39	0	32	31	13	23	36	19	19	16	40	19	34	23	17	31	26	18	32	23	31	17	28	25	22	11	33	29	28	35	19	38	25	33	35	30	31	9	10	3	2	31	34	33	15	3	5	27	33	44	24	35	12	40	22	26	21	34	23	37	37	31	6	36	38	33	26	14	23	32	35	17	14	22	26	20	22	20	17	3	2	12	3	38	40	38	40	35	37	45	43	26	25	37	35	43	35	37	38	13	37	32	3	32	4	26	25	32	40	19	14	13	28	36	26	39	41	33	37	44	45	24	48	14	42	13	14	22	28	12	5
Subject_010	39	30	27	28	26	29	25	31	25	24	30	35	22	35	18	32	32	29	33	31	32	25	27	19	27	13	31	28	33	37	23	34	26	30	15	28	17	6	29	11	11	34	15	29	33	30	25	14	27	34	26	26	23	28	16	24	30	31	19	20	21	26	11	25	9	29	28	35	33	31	33	17	15	31	33	31	30	16	23	14	25	21	18	30	30	24	42	20	23	37	34	32	36	32	21	33	36	34	40	34	31	26	8	26	15	23	31	22	36	27	31	31	28	25	21	16	31	38	38	32	15	20	22	20	20	16	31	15	18	14	19
