	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	0.68555	0.54444	0.64863	0.72985	0.65111	0.75838	0.74739	0.75107	0.75223	0.711	0.74359	0.76085	0.73489	0.7395	0.7151	0.68643	0.67172	0.73933	0.71672	0.74056	0.72101	0.68811	0.74061	0.79516	0.76058	0.60909	0.7044	0.75499	0.63487	0.7215	0.8022	0.73943	0.73652	0.75404	0.67778	0.70696	0.57479	0.60119	0.6924	0.42857	0.42308	0.71356	0.69487	0.5904	0.75625	0.62222	0.75275	0.78889	0.7494	0.7	0.86667	0.73563	0.71149	0.76872	0.77625	0.73148	0.69556	0.70731	0.75978	0.85375	0.80296	0.78513	0.67619	0.74577	0.80664	0.68162	0.75485	0.79127	0.69853	0.75391	0.76807	0.71839	0.68615	0.61905	0.70487	0.66017	0.69143	0.72414	0.49545	0.74111	0.73084	0.72895	0.77083	0.71406	0.71853	0.75798	0.71923	0.68808	0.71344	0.76957	0.71902	0.68972	0.71329	0.74426	0.73248	0.71429	0.5875	0.79885	0.75389	0.64214	0.71605	0.73002	0.52828	0.58877	0.7549	0.68778	0.69928	0.64683	0.695	0.73123	0.69281	0.71971	0.67434	0.82121	0.63472	0.71402	0.83048	0.75054	0.72285	0.70939	0.83333	0.63474	0.73684	0.74462	0.66111	0.74308	0.71561	0.72222	0.73678	0.75831	0.64855
Subject_002	0.6744	0.64451	0.7337	0.64206	0.71958	0.72465	0.7291	0.7328	0.75403	0.77128	0.67279	0.73254	0.73436	0.77722	0.73304	0.73552	0.70443	0.68795	0.71384	0.7375	0.67491	0.66762	0.75165	0.69538	0.65909	0.67237	0.68876	0.71	0.69692	0.71976	0.70794	0.65722	0.65926	0.68137	0.68786	0.78095	0.75817	0.41212	0.71248	0.56548	0.70707	0.73697	0.68577	0.73504	0.73094	0.70679	0.72175	0.70949	0.75056	0.65417	0.75641	0.67056	0.71231	0.55859	0.70697	0.7197	0.72778	0.73897	0.73323	0.78851	0.77097	0.77135	0.69118	0.7702	0.68472	0.7029	0.70513	0.67582	0.65205	0.74286	0.6996	0.7402	0.74265	0.60732	0.70296	0.72064	0.70626	0.66974	0.73168	0.69056	0.67467	0.70871	0.72793	0.71579	0.70928	0.75146	0.71152	0.71798	0.73313	0.71064	0.6938	0.73489	0.71875	0.70661	0.69141	0.74398	0.75906	0.69415	0.7211	0.74146	0.75278	0.76364	0.43636	0.64052	0.65351	0.66416	0.74596	0.72381	0.76591	0.75088	0.77135	0.78333	0.67823	0.74815	0.68409	0.70813	0.73908	0.73599	0.69269	0.74769	0.74839	0.75776	0.67401	0.74127	0.75448	0.68151	0.66074	0.6685	0.70333	0.622	0.49603
Subject_003	0.78621	0.82804	0.8147	0.71429	0.75661	0.67796	0.7631	0.69737	0.69499	0.69	0.75299	0.69254	0.63384	0.69324	0.6567	0.78154	0.68568	0.70563	0.71806	0.71612	0.75846	0.70955	0.71573	0.77083	0.71345	0.72727	0.69683	0.77398	0.6991	0.71539	0.67302	0.69944	0.7337	0.73077	0.75526	0.69744	0.71436	0.42857	0.6425	0.70604	0.78571	0.75806	0.69074	0.70702	0.74027	0.64956	0.66749	0.79023	0.82769	0.74566	0.77425	0.64583	0.71278	0.72944	0.70895	0.66026	0.67778	0.77333	0.70267	0.70296	0.76543	0.67169	0.80567	0.79179	0.84615	0.70644	0.6887	0.66566	0.7386	0.77222	0.77009	0.73678	0.76923	0.75036	0.73017	0.70556	0.69281	0.63889	0.78889	0.74474	0.77778	0.73016	0.74571	0.74866	0.68775	0.73054	0.73744	0.68014	0.73226	0.7957	0.72694	0.75658	0.68148	0.79926	0.76975	0.76743	0.80614	0.73025	0.7866	0.76872	0.76852	0.68845	0.59217	0.75903	0.71528	0.69144	0.78342	0.74902	0.82512	0.75604	0.77124	0.74286	0.75095	0.77525	0.78063	0.77303	0.76499	0.57806	0.69841	0.72069	0.71977	0.65196	0.78205	0.68845	0.88947	0.71465	0.77289	0.71133	0.70789	0.51852	0.73853
Subject_004	0.7887	0.32143	0.70606	0.71111	0.83333	0.78788	0.68896	0.69571	0.6917	0.66667	0.72879	0.72884	0.70294	0.70952	0.76564	0.76263	0.80051	0.78139	0.74831	0.73053	0.7211	0.69048	0.79221	0.77179	0.71333	0.90476	0.78504	0.62111	0.67244	0.65468	0.4881	0.72623	0.69841	0.72672	0.82967	0.71739	0.56346	0.41667	0.73611	0.33704	0.74127	0.79641	0.73882	0.83333	0.7605	0.61515	0.71825	0.5	0.66776	0.65152	0.74359	0.68717	0.75404	0.70575	0.73969	0.73413	0.73797	0.65086	0.75278	0.77234	0.72209	0.71875	0.41667	0.7735	0.65385	0.77311	0.72663	0.73372	0.56746	0.7095	0.69607	0.8	0.74265	0.7619	0.7276	0.76754	0.74644	0.74889	0.33333	0.72013	0.68544	0.75159	0.69906	0.78019	0.74835	0.7341	0.72574	0.69231	0.80741	0.69482	0.68706	0.66111	0.76496	0.75469	0.73333	0.6746	0.64835	0.73959	0.75397	0.71111	0.73417	0.82721	0.77273	0.7187	0	0.67969	0.75442	0.90278	0.75668	0.82381	0.72672	0.78513	0.73426	0.74704	0.74444	0.74753	0.73442	0.96212	0.72541	0.79923	0.72061	0.73223	0.73545	0.78824	0.72547	0.69389	0.72789	0.7235	0.87662	0.749	0.58593
Subject_005	0.68961	0.73913	0.70476	0.64417	0.73518	0.65861	0.75369	0.73721	0.71882	0.73295	0.64195	0.65271	0.71667	0.77176	0.6959	0.67632	0.79293	0.72614	0.64306	0.67949	0.68659	0.73879	0.67634	0.66402	0.72186	0.65007	0.73392	0.74365	0.71825	0.72894	0.51496	0.76167	0.68116	0.85531	0.64493	0.67569	0.65208	0.65278	0.64358	0.73651	0.67778	0.61093	0.69534	0.70088	0.73833	0.65385	0.69077	0.76918	0.83112	0.81852	0.76482	0.72414	0.69167	0.76556	0.66082	0.72311	0.77706	0.76627	0.77158	0.80997	0.81056	0.7751	0.8172	0.8038	0.82778	0.73369	0.68923	0.63104	0.78695	0.76781	0.77815	0.65778	0.66984	0.68506	0.722	0.70222	0.66667	0.73369	0.59252	0.7373	0.64103	0.71746	0.66204	0.66234	0.69489	0.80661	0.80088	0.76197	0.79217	0.70365	0.75118	0.77759	0.63602	0.80718	0.81138	0.82063	0.81707	0.77302	0.6728	0.75221	0.74324	0.70726	0.66919	0.53587	0.70833	0.66776	0.54079	0.64374	0.65615	0.52102	0.66667	0.6564	0.65873	0.70088	0.63772	0.77273	0.72278	0.67836	0.69772	0.72799	0.72698	0.69717	0.70798	0.69474	0.65308	0.72667	0.71415	0.71181	0.73715	0.72414	0.65476
Subject_006	0.78467	0.87607	0.78443	0.77778	0.74837	0.7491	0.77168	0.71944	0.68172	0.73123	0.72332	0.69565	0.78898	0.66831	0.74372	0.73894	0.71611	0.80167	0.72046	0.70789	0.71895	0.71607	0.7113	0.68637	0.74683	0.76364	0.78114	0.74085	0.71778	0.7129	0.70924	0.67846	0.78158	0.71429	0.75694	0.74638	0.76285	0.5	0.77312	0.73835	0.67504	0.72989	0.79737	0.75579	0.78129	0.4	0.77167	0.69776	0.80392	0.79408	0.64425	0.70275	0.735	0.70328	0.70949	0.78704	0.76779	0.76876	0.8	0.7341	0.80072	0.71902	0.76508	0.74174	0.73466	0.69269	0.7506	0.64832	0.7515	0.71117	0.7202	0.79077	0.78833	0.57738	0.76109	0.61902	0.74409	0.81587	0.81818	0.70476	0.8088	0.77315	0.72876	0.69891	0.78718	0.69328	0.7768	0.72388	0.72745	0.72	0.70608	0.73218	0.69132	0.73218	0.75617	0.76667	0.7752	0.74691	0.7559	0.69281	0.7641	0.79195	0.79831	0.93056	0.79521	0.69889	0.69855	0.80303	0.72822	0.64011	0.73666	0.79902	0.71579	0.76471	0.75266	0.75	0.77386	0.75452	0.72222	0.66503	0.76528	0.73727	0.72072	0.80501	0.80912	0.63462	0.81385	0.78462	0.76723	0.75411	0.6924
Subject_007	0.77997	0.33333	0.85238	0.46429	0.83578	0.73457	0.74957	0.76851	0.81413	0.82206	0.81508	0.81266	0.66667	0.73387	0.65414	0.79085	0.77279	0.71262	0.77586	0.74227	0.74127	0.76496	0.79385	0.79825	0.71345	0.70316	0.73043	0.83647	0.71226	0.77527	0.78238	0.7055	0.73754	0.89355	0.82359	0.74678	0.8061	0.16667	0.5	0	0.095238	0.74713	0.69692	0.56439	0.69975	0.85531	0.94444	0.72222	0.71323	0.7598	0.80403	0.72998	0.16667	0.73276	0.69156	0.75758	0.7625	0.65033	0.71778	0.77015	0.78309	0.77289	1	0.65175	0.48889	0.73724	0.66404	0.80897	0.90968	0.87348	0.77703	0.74769	0.86458	0.66579	0.7812	0.81667	0.70253	0.7747	0.86895	0.84583	0.61905	0.75351	0.74603	0.82917	0.66234	0.75958	0.75126	0.86301	0.72518	0.81036	0.83001	0.75035	0.79306	0.87162	0.786	0.84818	0.80185	0.80334	0.78827	0.84424	0.83856	0.7556	0.67407	0.25	0.81495	0.30556	0.77586	0.73584	0.79365	0.83231	0.77671	0.75211	0.76035	0.74084	0.79825	0.72426	0.64141	0.75163	0.7615	0.70444	0.80507	0.85556	0.80483	0.72368	0.61988	0.73737	0.90476	0	0.66162	0.69847	0.25
Subject_008	0.73448	0.65598	0.71159	0.6978	0.72113	0.61842	0.78352	0.76323	0.79202	0.77425	0.78459	0.78348	0.75302	0.77586	0.7307	0.77273	0.81792	0.75556	0.80789	0.7	0.77241	0.77389	0.72615	0.7859	0.75538	0.69963	0.78889	0.73321	0.76719	0.74524	0.88235	0.73979	0.87821	0.80296	0.67281	0.72381	0.8041	0	0.86364	0.83333	0.3	0.76638	0.74429	0.80741	0.72982	0.78556	0.74513	0.86364	0.84711	0.78019	0.78632	0.70949	0.73965	0.74515	0.74315	0.74183	0.82066	0.76984	0.82344	0.8608	0.8164	0.85753	0.83333	0.79571	0	0.75855	0.72889	0.84503	0.86447	0.76402	0.81049	0.73763	0.57353	0.62222	0.76403	0.74695	0.7478	0.75	0.67844	0.90385	0.75873	0.78554	0.85965	0.75269	0.81366	0.78419	0.79298	0.79792	0.83008	0.75126	0.75441	0.81398	0.79333	0.7505	0.78808	0.83077	0.79853	0.68704	0.76587	0.75241	0.70092	0.66993	0.62698	0.48675	0.85606	0.89286	0.67361	0.689	0.76433	0.75304	0.78269	0.71759	0.76326	0.77588	0.70159	0.70952	0.8127	0.80794	0.73457	0.71749	0.77487	0.77799	0.84967	0.74056	0.7449	0.68301	0.74781	0.75926	0.75439	0.75309	0.65
Subject_009	0.75034	0	0.83938	0.78996	0.76923	0.81818	0.77169	0.65984	0.72807	0.72361	0.80791	0.74951	0.79441	0.70883	0.81005	0.82688	0.7041	0.71895	0.78696	0.75296	0.73728	0.71814	0.78527	0.79944	0.71284	0.78485	0.83491	0.7578	0.84877	0.80392	0.72515	0.79777	0.86278	0.79703	0.83277	0.80077	0.85663	0.78704	0.31111	0.83333	1	0.81792	0.69742	0.81692	0.79206	1	0.2	0.88889	0.82576	0.81818	0.85688	0.7958	0.81061	0.7797	0.67136	0.77436	0.86984	0.84641	0.917	0.83734	0.83308	0.86774	0.26667	0.85556	0.85846	0.78851	0.70974	0.71429	0.94664	0.84543	0.84846	0.65135	0.82784	0.56926	0.82718	0.75965	0.76659	0.7386	0.81495	0.83333	0	0.52273	0.83333	0.80133	0.82436	0.83689	0.77436	0.84594	0.81306	0.81246	0.7883	0.88718	0.72556	0.84459	0.807	0.82503	0.77255	0.78428	0.82266	0.85256	0.83046	0.78427	1	0.82157	0.33333	0.73	0.80556	0.8004	0.69893	0.65936	0.70879	0.6688	0.77778	0.77434	0.74513	0.71615	0.83171	0.72254	0.76051	0.80761	0.79579	0.87621	0.78413	0.89011	0.7379	0.76923	0.83333	0.69336	0.81614	0.68939	1
Subject_010	0.75866	0.72644	0.70465	0.76323	0.77179	0.75123	0.73556	0.68244	0.67333	0.75362	0.79732	0.76863	0.7215	0.73417	0.76797	0.77487	0.6791	0.75698	0.71559	0.72581	0.7621	0.725	0.74359	0.69347	0.67854	0.73291	0.74229	0.74383	0.73769	0.71897	0.69368	0.69192	0.71821	0.81954	0.71111	0.72266	0.76103	0.26667	0.74097	0.71515	0.71515	0.73024	0.71746	0.72373	0.70297	0.73218	0.755	0.663	0.63276	0.6628	0.73487	0.77231	0.69433	0.78307	0.71597	0.73551	0.77356	0.71398	0.75731	0.7193	0.69119	0.67308	0.51818	0.76444	0.61111	0.70238	0.68386	0.76611	0.78504	0.7828	0.76326	0.73162	0.70952	0.66577	0.74716	0.72832	0.759	0.70486	0.72859	0.66026	0.68167	0.75952	0.70697	0.81111	0.67165	0.70471	0.72726	0.76667	0.70883	0.7017	0.8057	0.67944	0.77037	0.73589	0.66667	0.70865	0.76534	0.7962	0.70449	0.71658	0.78315	0.67231	0.55952	0.64856	0.79206	0.74506	0.66989	0.8088	0.74974	0.73267	0.68817	0.62599	0.69312	0.755	0.76984	0.7	0.75376	0.69417	0.69678	0.68616	0.55714	0.67982	0.70346	0.6857	0.64912	0.69583	0.67097	0.59206	0.7549	0.76923	0.75536
