	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	0.61167	0.67857	0.65714	0.5	0.66842	0.47464	0.51449	0.49376	0.5322	0.56333	0.53109	0.44828	0.56618	0.48667	0.56884	0.61429	0.59649	0.50667	0.52258	0.53333	0.48947	0.6	0.49667	0.4188	0.51812	0.66667	0.48913	0.5	0.70996	0.54286	0.37879	0.50427	0.47253	0.53231	0.65497	0.53333	0.5641	0.83333	0.58242	0.7619	0.78571	0.6	0.59893	0.69118	0.49451	0.66667	0.52564	0.38	0.375	0.4183	0.28571	0.54762	0.51449	0.52536	0.49538	0.54701	0.54762	0.56667	0.52102	0.22632	0.42165	0.39526	0.42857	0.53226	0.34503	0.60969	0.50333	0.4	0.34615	0.51587	0.46774	0.54416	0.62573	0.57143	0.5368	0.63158	0.59211	0.52857	0.67857	0.54044	0.55665	0.55882	0.55238	0.59109	0.59033	0.49194	0.55556	0.60882	0.55714	0.47586	0.58179	0.48947	0.60707	0.47354	0.5197	0.57808	0.5	0.41231	0.41053	0.65497	0.52899	0.48718	0.7	0.60784	0.37363	0.56209	0.59048	0.65613	0.51579	0.53684	0.48571	0.5641	0.65344	0.4	0.68182	0.58128	0.35333	0.38462	0.51326	0.53986	0.27485	0.73504	0.54622	0.44589	0.61029	0.53571	0.60923	0.6044	0.58128	0.52814	0.64052
Subject_002	0.65517	0.64103	0.40526	0.64103	0.53	0.52116	0.52688	0.53427	0.49206	0.325	0.59048	0.54713	0.56159	0.44928	0.50526	0.50593	0.56917	0.56863	0.54286	0.48485	0.66667	0.62319	0.51948	0.63158	0.68659	0.56618	0.67611	0.5974	0.58442	0.57407	0.5817	0.68116	0.64286	0.6	0.61053	0.46199	0.47059	0.75	0.53676	0.33333	0.46429	0.54234	0.7193	0.54348	0.625	0.58893	0.59289	0.45833	0.51082	0.70833	0.48485	0.60606	0.58103	0.68182	0.55882	0.59091	0.475	0.6	0.52903	0.44203	0.48188	0.41905	0.61538	0.44444	0.60606	0.60173	0.62338	0.65873	0.65714	0.50568	0.56125	0.45455	0.51667	0.66667	0.59784	0.61609	0.61462	0.63971	0.57576	0.59048	0.6413	0.59788	0.53216	0.51515	0.5641	0.50115	0.60882	0.54762	0.52101	0.60887	0.62698	0.47619	0.57701	0.62745	0.5914	0.55699	0.51579	0.6221	0.5873	0.52473	0.58333	0.49091	0.61905	0.71795	0.67974	0.67725	0.55072	0.54986	0.43478	0.51567	0.48433	0.4152	0.6649	0.51111	0.61735	0.57231	0.53	0.51449	0.6498	0.45789	0.51667	0.51933	0.63793	0.56209	0.50997	0.65287	0.71345	0.59167	0.625	0.62121	0.66667
Subject_003	0.48276	0.44769	0.4023	0.47059	0.48667	0.60308	0.48942	0.61438	0.59559	0.62573	0.55263	0.63	0.62222	0.62105	0.63636	0.4664	0.64286	0.61404	0.56774	0.61538	0.47826	0.58095	0.56725	0.44872	0.59167	0.57143	0.5731	0.42688	0.59829	0.58468	0.61538	0.61039	0.51462	0.52814	0.5098	0.60606	0.57895	0.7	0.69524	0.53333	0.5	0.48966	0.67241	0.6	0.58498	0.675	0.65217	0.45652	0.33571	0.54598	0.51087	0.71429	0.58947	0.51948	0.625	0.63636	0.66008	0.48551	0.55544	0.55378	0.38528	0.63757	0.45029	0.32026	0.37778	0.58851	0.62451	0.68661	0.5381	0.54034	0.48684	0.54462	0.45455	0.525	0.58621	0.59477	0.54286	0.53571	0.33333	0.45	0.4381	0.51082	0.29091	0.48718	0.65755	0.55882	0.58103	0.63308	0.56429	0.43667	0.57508	0.45287	0.62989	0.42023	0.48925	0.45739	0.45614	0.54701	0.4529	0.50216	0.52185	0.57576	0.75	0.41991	0.65385	0.57419	0.45363	0.54011	0.34	0.42647	0.44368	0.55114	0.4416	0.48485	0.43684	0.42391	0.48617	0.62637	0.61957	0.57246	0.56863	0.62121	0.46667	0.63054	0.26144	0.55556	0.42308	0.62857	0.51648	0.73333	0.56618
Subject_004	0.46154	0.86667	0.52727	0.4	0.33333	0.47368	0.6049	0.64138	0.64541	0.39394	0.60714	0.56048	0.59848	0.54233	0.50198	0.53801	0.5	0.4183	0.51508	0.50493	0.42333	0.62632	0.38012	0.43956	0.55556	0.26667	0.47782	0.75	0.59113	0.58974	0.8	0.58824	1	0.57143	0.25	0.62092	0.76364	0	0.4	0.6	0.57143	0.43478	0.56005	0.36029	0.53025	0.61111	0.61404	0.6	0.70833	0.69444	0.44444	0.56506	0.47826	0.60507	0.50568	0.50739	0.5	0.69231	0.46842	0.48485	0.53846	0.52727	1	0.53333	0.55556	0.50189	0.44333	0.53	0.66667	0.57835	0.52814	0.31667	0.49231	0	0.52688	0.30769	0.45455	0.50216	0	0.6	0.49275	0.52179	0.58118	0.47059	0.52205	0.5415	0.57429	0.5619	0.30556	0.6494	0.64532	0.76923	0.49351	0.5	0.71429	0.65344	0.72527	0.51957	0.45098	0.5	0.53118	0.44167	0.46667	0.5615	0	0.56923	0.50108	0.21429	0.47957	0.27273	0.45055	0.42391	0.54637	0.5	0.54958	0.52613	0.56026	0.21429	0.57207	0.44444	0.57822	0.52462	0.53629	0.38889	0.4859	0.63158	0.57374	0.53968	0.25789	0.51956	0.63889
Subject_005	0.61905	0.56667	0.62121	0.6619	0.55238	0.64286	0.54762	0.50308	0.61036	0.57231	0.69474	0.69203	0.475	0.50427	0.62108	0.675	0.4697	0.47667	0.71345	0.63636	0.60234	0.59477	0.64672	0.66667	0.52707	0.63158	0.55	0.43226	0.48571	0.58974	0.69091	0.50216	0.62632	0.33333	0.65497	0.64855	0.52564	0.61111	0.66176	0.6	0.54545	0.68831	0.58974	0.59167	0.53667	0.67368	0.64502	0.50997	0.28307	0.31048	0.49206	0.52	0.64032	0.50988	0.575	0.53846	0.4386	0.47772	0.39205	0.3254	0.37077	0.40171	0.4127	0.40336	0.25641	0.56159	0.67029	0.66667	0.42165	0.47805	0.37471	0.68571	0.65714	0.65538	0.57619	0.61579	0.60784	0.55	0.8022	0.52381	0.62222	0.53333	0.47619	0.4183	0.60053	0.37121	0.42647	0.42614	0.44239	0.61166	0.4413	0.37701	0.64502	0.38596	0.39919	0.38655	0.34225	0.42137	0.62462	0.50246	0.47984	0.52174	0.70909	0.77273	0.6	0.69231	0.79085	0.7316	0.7029	0.8	0.68831	0.69006	0.66667	0.60131	0.64103	0.49762	0.58009	0.57692	0.56452	0.55229	0.56618	0.58095	0.54545	0.65934	0.63743	0.54545	0.57708	0.61264	0.44118	0.53442	0.57143
Subject_006	0.47044	0.33333	0.44	0.66667	0.53297	0.48148	0.49573	0.52206	0.67077	0.54902	0.53	0.59524	0.44828	0.66008	0.54286	0.54367	0.59762	0.43478	0.51515	0.54348	0.57419	0.54902	0.51579	0.63068	0.39048	0.17778	0.46154	0.51478	0.57312	0.55385	0.59048	0.63636	0.41558	0.45055	0.50805	0.48052	0.32353	0.66667	0.44615	0.5415	0.61905	0.45059	0.45614	0.52956	0.44444	1	0.43723	0.60847	0.40659	0.4152	0.64835	0.55731	0.52644	0.57672	0.59474	0.45333	0.49798	0.45455	0.38571	0.49123	0.39048	0.57398	0.41667	0.54367	0.57311	0.62973	0.49784	0.65873	0.5205	0.55271	0.57647	0.40316	0.45455	1	0.52258	0.57143	0.54701	0.30909	0.21429	0.49524	0.37143	0.53333	0.53846	0.63514	0.44269	0.62702	0.39048	0.56757	0.55632	0.49407	0.60323	0.57804	0.59655	0.52	0.48551	0.50526	0.46667	0.56	0.50362	0.55882	0.45455	0.4359	0.4026	0.21429	0.35165	0.6342	0.51385	0.34559	0.52646	0.62222	0.53333	0.44762	0.49451	0.30303	0.55615	0.49538	0.47537	0.45652	0.54945	0.53846	0.4359	0.50216	0.54023	0.41905	0.4058	0.64286	0.42667	0.4381	0.45813	0.49333	0.50909
Subject_007	0.43692	1	0.32727	1	0.42857	0.52174	0.49103	0.49714	0.36782	0.32717	0.36391	0.40825	0.52381	0.55455	0.62121	0.49524	0.52102	0.57752	0.41667	0.5	0.54356	0.43838	0.43116	0.41711	0.56614	0.51634	0.50142	0.33718	0.58571	0.46561	0.47385	0.56707	0.48522	0.19577	0.38596	0.52043	0.475	0.66667	0.5	0	0.9	0.51087	0.59788	0.55556	0.44872	0.34545	0.25	0.56842	0.58925	0.45591	0.35556	0.62808	1	0.5471	0.5	0.37778	0.32727	0.56061	0.55556	0.53846	0.50476	0.30556	0	0.67647	0.66667	0.51398	0.51648	0.37931	0.21839	0.25356	0.50115	0.52632	0.22906	0.55147	0.42754	0.425	0.48333	0.4386	0.20652	0.4125	0.46667	0.40952	0.44444	0.43636	0.60131	0.45749	0.56686	0.24253	0.48175	0.32	0.37439	0.50877	0.39746	0.2521	0.40645	0.34659	0.42473	0.4298	0.43869	0.28788	0.36302	0.49673	0.64286	0.83333	0.41818	0.85714	0.47354	0.56316	0.32806	0.32016	0.36364	0.50427	0.5098	0.48889	0.3956	0.49524	0.67273	0.325	0.42968	0.61579	0.40833	0.2381	0.39489	0.58824	0.62092	0.45588	0.26667	1	0.5	0.60326	1
Subject_008	0.54234	0.70909	0.58289	0.59091	0.61538	0.69231	0.39493	0.41502	0.32035	0.46439	0.46305	0.42	0.49784	0.45869	0.48529	0.4329	0.37302	0.5	0.35948	0.51634	0.45231	0.43333	0.53333	0.39394	0.43723	0.63636	0.44872	0.52646	0.52222	0.55854	0.26471	0.57619	0.30303	0.41667	0.6619	0.56913	0.39493	1	0.36111	0.33333	0.66667	0.44589	0.47884	0.17857	0.60952	0.43684	0.55882	0.28836	0.20779	0.48062	0.44664	0.59064	0.58824	0.47333	0.54971	0.50833	0.32353	0.48538	0.31855	0.25071	0.32	0.18667	0.38258	0.41346	0	0.46429	0.46753	0.275	0.088889	0.47563	0.39661	0.55692	0.4359	0.575	0.50498	0.50789	0.54	0.5619	0.63158	0.15556	0.55128	0.49451	0.34641	0.52536	0.39305	0.43109	0.43275	0.41923	0.32359	0.55429	0.52	0.44203	0.35573	0.51304	0.46748	0.39118	0.47273	0.5914	0.47677	0.51263	0.44286	0.56618	0.73333	0.69697	0.37879	0.32143	0.47253	0.61538	0.51414	0.51136	0.42118	0.5	0.54072	0.44667	0.63736	0.58242	0.35556	0.38462	0.53333	0.51383	0.45714	0.43385	0.27619	0.54524	0.54646	0.64957	0.46667	0.52381	0.48333	0.52	0.58182
Subject_009	0.4697	0	0.28775	0.43874	0.35556	0.37143	0.46346	0.42857	0.55	0.40909	0.33763	0.4902	0.46059	0.55789	0.41905	0.38624	0.55238	0.55238	0.47721	0.38095	0.51852	0.575	0.48188	0.47431	0.55882	0.44444	0.34943	0.48308	0.32	0.36989	0.55882	0.375	0.22944	0.43448	0.4082	0.45333	0.25538	0.4	0.8	1	0	0.28667	0.5873	0.34127	0.34545	0	1	0.18659	0.23789	0.38397	0.25731	0.4086	0.35714	0.49929	0.5619	0.32749	0.22794	0.33763	0.13333	0.33239	0.25054	0.19538	1	0.2752	0.3119	0.45977	0.61905	0.56061	0.1039	0.2954	0.33422	0.66667	0.34545	0.675	0.35263	0.42308	0.38971	0.29524	0.44167	0	1	0.73333	0.66667	0.38161	0.36411	0.35317	0.52362	0.27586	0.35081	0.40532	0.4111	0.26087	0.51948	0.3125	0.3911	0.4036	0.49425	0.38306	0.37857	0.32143	0.31613	0.48817	0	0.24471	1	0.45029	0.32026	0.39683	0.56629	0.66667	0.33333	0.4	0.36364	0.42614	0.62092	0.56754	0.38051	0.50725	0.49242	0.43612	0.43148	0.26471	0.43134	0.21795	0.53697	0.32727	0.43939	0.62637	0.31053	0.53333	0
Subject_010	0.53272	0.54154	0.54211	0.45652	0.47826	0.43167	0.52569	0.62462	0.63636	0.48485	0.37667	0.44974	0.51634	0.53763	0.44762	0.45238	0.64815	0.4529	0.57701	0.525	0.4709	0.59684	0.51948	0.5641	0.6	0.55556	0.46154	0.53561	0.53103	0.51149	0.58947	0.62562	0.48485	0.4	0.58182	0.55731	0.51429	0.66667	0.51385	0.51111	0.42857	0.55269	0.54545	0.54333	0.59524	0.56667	0.34474	0.34545	0.61053	0.61231	0.49351	0.43083	0.63743	0.44	0.48352	0.51082	0.46769	0.5936	0.50327	0.5848	0.4902	0.57619	0.80952	0.4632	0.78571	0.58689	0.6087	0.48966	0.46022	0.47293	0.47742	0.50476	0.57692	0.63636	0.50575	0.54558	0.50132	0.54945	0.58421	0.57143	0.58421	0.54737	0.67033	0.39683	0.62154	0.56316	0.55238	0.53846	0.43382	0.51232	0.39785	0.67312	0.42529	0.54943	0.5817	0.59606	0.42151	0.42299	0.59715	0.59785	0.42769	0.55714	0.61905	0.65263	0.2	0.45588	0.64923	0.35789	0.53361	0.52333	0.52422	0.7381	0.5671	0.4152	0.45322	0.59341	0.52	0.52956	0.60336	0.60317	0.58182	0.60294	0.52206	0.63333	0.67033	0.52564	0.64855	0.66667	0.49451	0.49091	0.31111
Subject_011	0.51333	0.66667	0.48918	0.58696	0.37143	0.40523	0.42105	0.51948	0.57846	0.5336	0.4329	0.55665	0.4	0.59524	0.49451	0.50952	0.61084	0.55844	0.62857	0.55556	0.57143	0.46154	0.48333	0.45789	0.64039	0.62338	0.52857	0.48	0.48221	0.50216	0.57143	0.52174	0.57143	0.69091	0.49784	0.47143	0.40659	0.60714	0.44167	0.5	0.5	0.59333	0.5471	0.52105	0.37302	1	0.36111	0.48421	0.28623	0.3	0.42192	0.52137	0.65942	0.48052	0.47957	0.54286	0.5	0.29803	0.35795	0.42817	0.36185	0.41291	0.66667	0.19524	0.14379	0.62	0.55731	0.60476	0.31667	0.39524	0.33005	0.5	0.63333	0.66667	0.55263	0.52941	0.60256	0.64706	0.37778	0.65934	0.55195	0.4619	0.66667	0.36243	0.49784	0.4	0.56282	0.43185	0.38057	0.40998	0.53267	0.71429	0.55172	0.43226	0.30199	0.38068	0.59474	0.63406	0.42462	0.64516	0.51326	0.58689	0.69167	0.63158	0.37879	0.66667	0.51077	0.42424	0.35961	0.6996	0.59477	0.5812	0.59524	0.50476	0.6	0.59524	0.55385	0.43939	0.60133	0.47	0.42151	0.55789	0.55172	0.47826	0.625	0.58893	0.52941	0.6502	0.59559	0.64762	0.33333
