	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_001	0.46495	0.37516	0.57516
Subject_002	0.44318	0.37534	0.57534
Subject_003	0.47979	0.37246	0.57246
Subject_004	0.48192	0.3687	0.5687
Subject_005	0.45302	0.37816	0.57816
Subject_006	0.50625	0.36714	0.56714
Subject_007	0.52926	0.35497	0.55497
Subject_008	0.53708	0.35057	0.55057
Subject_009	0.58648	0.34153	0.54153
Subject_010	0.46821	0.37755	0.57755
Subject_011	0.49234	0.36555	0.56555
Subject_012	0.48614	0.37283	0.57283
Subject_013	0.49309	0.36931	0.56931
Subject_014	0.50332	0.36746	0.56746
Subject_015	0.52089	0.36106	0.56106
Subject_016	0.53387	0.35755	0.55755
Subject_017	0.51711	0.36242	0.56242
Subject_018	0.51537	0.36129	0.56129
Subject_019	0.48516	0.37138	0.57138
Subject_020	0.53727	0.35692	0.55692
Subject_021	0.48688	0.37478	0.57478
Subject_022	0.44432	0.38105	0.58105
Subject_023	0.48477	0.37036	0.57036
Subject_024	0.54309	0.35855	0.55855
Subject_025	0.47555	0.36931	0.56931
Subject_026	0.53135	0.36283	0.56283
Subject_027	0.47941	0.36981	0.56981
Subject_028	0.44416	0.37131	0.57131
Subject_029	0.47946	0.37168	0.57168
Subject_030	0.55204	0.34497	0.54497
Subject_031	0.50027	0.37157	0.57157
Subject_032	0.44408	0.37763	0.57763
Subject_033	0.56931	0.35708	0.55708
Subject_034	0.54939	0.35928	0.55928
Subject_035	0.48442	0.36971	0.56971
Subject_036	0.47282	0.37224	0.57224
Subject_037	0.50538	0.36664	0.56664
Subject_038	0.5166	0.36012	0.56012
Subject_039	0.58614	0.34907	0.54907
Subject_040	0.47648	0.37421	0.57421
Subject_041	0.51951	0.3626	0.5626
Subject_042	0.52378	0.36077	0.56077
Subject_043	0.49739	0.37324	0.57324
Subject_044	0.53049	0.36091	0.56091
Subject_045	0.5051	0.36185	0.56185
Subject_046	0.51098	0.36459	0.56459
Subject_047	0.50126	0.36751	0.56751
Subject_048	0.48215	0.36876	0.56876
Subject_049	0.50114	0.36798	0.56798
Subject_050	0.54154	0.36247	0.56247
Subject_051	0.52855	0.34914	0.54914
Subject_052	0.58189	0.33909	0.53909
Subject_053	0.51737	0.36235	0.56235
Subject_054	0.5065	0.36265	0.56265
Subject_055	0.48185	0.37335	0.57335
Subject_056	0.52725	0.3602	0.5602
Subject_057	0.4904	0.35956	0.55956
Subject_058	0.47929	0.37137	0.57137
Subject_059	0.47313	0.37148	0.57148
Subject_060	0.53988	0.35558	0.55558
Subject_061	0.50832	0.36726	0.56726
Subject_062	0.57696	0.34628	0.54628
Subject_063	0.45534	0.3801	0.5801
Subject_064	0.50149	0.36837	0.56837
Subject_065	0.5535	0.35529	0.55529
Subject_066	0.59491	0.34564	0.54564
Subject_067	0.52551	0.36204	0.56204
Subject_068	0.50273	0.36469	0.56469
Subject_069	0.45118	0.37751	0.57751
Subject_070	0.56149	0.35345	0.55345
Subject_071	0.58945	0.33625	0.53625
Subject_072	0.5292	0.36266	0.56266
Subject_073	0.49449	0.36459	0.56459
Subject_074	0.50146	0.37178	0.57178
Subject_075	0.52251	0.36483	0.56483
Subject_076	0.48633	0.37213	0.57213
Subject_077	0.5742	0.34635	0.54635
Subject_078	0.51754	0.36496	0.56496
Subject_079	0.54545	0.35342	0.55342
Subject_080	0.48259	0.37119	0.57119
Subject_081	0.55463	0.34467	0.54467
Subject_082	0.52046	0.35926	0.55926
Subject_083	0.48667	0.37211	0.57211
Subject_084	0.53268	0.36232	0.56232
Subject_085	0.49353	0.36829	0.56829
Subject_086	0.54995	0.3642	0.5642
Subject_087	0.59949	0.32879	0.52879
Subject_088	0.5553	0.35579	0.55579
Subject_089	0.52759	0.35277	0.55277
Subject_090	0.54597	0.35201	0.55201
Subject_091	0.46822	0.37119	0.57119
Subject_092	0.53859	0.36291	0.56291
Subject_093	0.47526	0.36826	0.56826
Subject_094	0.47147	0.37395	0.57395
Subject_095	0.55697	0.34811	0.54811
Subject_096	0.48701	0.3735	0.5735
Subject_097	0.4968	0.36963	0.56963
Subject_098	0.5044	0.36931	0.56931
Subject_099	0.53576	0.36025	0.56025
Subject_100	0.53538	0.3526	0.5526
Subject_101	0.52479	0.36433	0.56433
Subject_102	0.43227	0.38066	0.58066
Subject_103	0.44551	0.37892	0.57892
Subject_104	0.52822	0.36412	0.56412
Subject_105	0.47277	0.37245	0.57245
Subject_106	0.42984	0.37942	0.57942
Subject_107	0.47135	0.37433	0.57433
Subject_108	0.53748	0.35643	0.55643
Subject_109	0.51011	0.36591	0.56591
Subject_110	0.5227	0.35952	0.55952
Subject_111	0.44713	0.37241	0.57241
Subject_112	0.46419	0.37407	0.57407
Subject_113	0.56358	0.34873	0.54873
Subject_114	0.52071	0.34975	0.54975
Subject_115	0.45626	0.37865	0.57865
Subject_116	0.49244	0.35864	0.55864
Subject_117	0.53028	0.3619	0.5619
Subject_118	0.54764	0.35081	0.55081
Subject_119	0.47276	0.37184	0.57184
Subject_120	0.54028	0.35375	0.55375
Subject_121	0.52615	0.36397	0.56397
Subject_122	0.51684	0.3644	0.5644
Subject_123	0.49063	0.37481	0.57481
Subject_124	0.53343	0.35859	0.55859
Subject_125	0.45085	0.37847	0.57847
Subject_126	0.47616	0.37175	0.57175
Subject_127	0.5704	0.34005	0.54005
Subject_128	0.4909	0.35743	0.55743
Subject_129	0.49394	0.37001	0.57001
Subject_130	0.53632	0.35536	0.55536
Subject_131	0.53053	0.35915	0.55915
Subject_132	0.50965	0.3636	0.5636
Subject_133	0.51447	0.36653	0.56653
Subject_134	0.49282	0.36386	0.56386
Subject_135	0.51666	0.36528	0.56528
Subject_136	0.48548	0.3697	0.5697
Subject_137	0.49304	0.36646	0.56646
Subject_138	0.49722	0.36546	0.56546
Subject_139	0.52981	0.36049	0.56049
Subject_140	0.51708	0.36624	0.56624
Subject_141	0.57524	0.33658	0.53658
Subject_142	0.49726	0.3652	0.5652
Subject_143	0.46736	0.37686	0.57686
Subject_144	0.51787	0.35902	0.55902
Subject_145	0.48222	0.36837	0.56837
Subject_146	0.53149	0.36053	0.56053
Subject_147	0.43303	0.37788	0.57788
Subject_148	0.47688	0.36911	0.56911
Subject_149	0.5361	0.35995	0.55995
Subject_150	0.50452	0.36272	0.56272
Subject_151	0.48235	0.36923	0.56923
Subject_152	0.54345	0.35672	0.55672
Subject_153	0.46714	0.37702	0.57702
Subject_154	0.52364	0.36541	0.56541
Subject_155	0.47771	0.36821	0.56821
Subject_156	0.49102	0.36306	0.56306
Subject_157	0.40402	0.38612	0.58612
Subject_158	0.48982	0.37551	0.57551
Subject_159	0.56541	0.30876	0.50876
Subject_160	0.49616	0.36882	0.56882
Subject_161	0.49758	0.3636	0.5636
Subject_162	0.49862	0.36893	0.56893
Subject_163	0.53849	0.35457	0.55457
Subject_164	0.46615	0.36866	0.56866
Subject_165	0.55555	0.34865	0.54865
Subject_166	0.49399	0.36806	0.56806
Subject_167	0.48008	0.36915	0.56915
Subject_168	0.59838	0.34059	0.54059
Subject_169	0.57071	0.34541	0.54541
Subject_170	0.47439	0.36937	0.56937
Subject_171	0.49137	0.36857	0.56857
Subject_172	0.52117	0.36442	0.56442
Subject_173	0.48895	0.37225	0.57225
Subject_174	0.50164	0.36045	0.56045
Subject_175	0.47424	0.37358	0.57358
Subject_176	0.56991	0.33973	0.53973
Subject_177	0.52694	0.35892	0.55892
Subject_178	0.50741	0.36435	0.56435
Subject_179	0.55413	0.35757	0.55757
Subject_180	0.4596	0.37499	0.57499
Subject_181	0.55615	0.3451	0.5451
Subject_182	0.53265	0.3679	0.5679
Subject_183	0.56228	0.33106	0.53106
Subject_184	0.5103	0.36451	0.56451
Subject_185	0.51196	0.36677	0.56677
Subject_186	0.45127	0.37526	0.57526
Subject_187	0.44614	0.37448	0.57448
Subject_188	0.4865	0.37124	0.57124
Subject_189	0.49925	0.36082	0.56082
Subject_190	0.4494	0.37821	0.57821
Subject_191	0.51121	0.35936	0.55936
Subject_192	0.46287	0.37224	0.57224
Subject_193	0.52701	0.35549	0.55549
Subject_194	0.51351	0.36268	0.56268
Subject_195	0.5076	0.3686	0.5686
Subject_196	0.54438	0.35111	0.55111
Subject_197	0.5649	0.34794	0.54794
Subject_198	0.55046	0.34849	0.54849
Subject_199	0.53876	0.35287	0.55287
Subject_200	0.52494	0.35523	0.55523
Subject_201	0.45645	0.37503	0.57503
Subject_202	0.54172	0.35974	0.55974
Subject_203	0.51812	0.35277	0.55277
