;hemi;region;side;label;RSNET
1;left;V1;lateral;lh_L_V1;
2;left;MST;lateral;lh_L_MST;
3;left;V2;lateral;lh_L_V2;
4;left;V3;lateral;lh_L_V3;
5;left;V4;lateral;lh_L_V4;
6;left;4;lateral;lh_L_4;2
7;left;3b;lateral;lh_L_3b;2
8;left;FEF;lateral;lh_L_FEF;
9;left;PEF;lateral;lh_L_PEF;
10;left;55b;lateral;lh_L_55b;4
11;left;V3A;lateral;lh_L_V3A;
12;left;V7;lateral;lh_L_V7;
13;left;IPS1;lateral;lh_L_IPS1;
14;left;FFC;lateral;lh_L_FFC;
15;left;V3B;lateral;lh_L_V3B;
16;left;LO1;lateral;lh_L_LO1;
17;left;LO2;lateral;lh_L_LO2;
18;left;PIT;lateral;lh_L_PIT;
19;left;MT;lateral;lh_L_MT;
20;left;A1;lateral;lh_L_A1;3
21;left;PSL;lateral;lh_L_PSL;3
22;left;STV;lateral;lh_L_STV;3
23;left;7AL;lateral;lh_L_7AL;
24;left;6ma;lateral;lh_L_6ma;
25;left;7PC;lateral;lh_L_7PC;
26;left;LIPv;lateral;lh_L_LIPv;
27;left;VIP;lateral;lh_L_VIP;
28;left;MIP;lateral;lh_L_MIP;
29;left;1;lateral;lh_L_1;2
30;left;2;lateral;lh_L_2;
31;left;3a;lateral;lh_L_3a;2
32;left;6d;lateral;lh_L_6d;
33;left;6mp;lateral;lh_L_6mp;2
34;left;6v;lateral;lh_L_6v;4
35;left;47m;lateral;lh_L_47m;
36;left;8Av;lateral;lh_L_8Av;
37;left;8Ad;lateral;lh_L_8Ad;
38;left;8BL;lateral;lh_L_8BL;
39;left;9p;lateral;lh_L_9p;1
40;left;10d;lateral;lh_L_10d;
41;left;8C;lateral;lh_L_8C;
42;left;44;lateral;lh_L_44;1
43;left;45;lateral;lh_L_45;4
44;left;47l;lateral;lh_L_47l;4
45;left;a47r;lateral;lh_L_a47r;4
46;left;6r;lateral;lh_L_6r;
47;left;IFJa;lateral;lh_L_IFJa;4
48;left;IFJp;lateral;lh_L_IFJp;
49;left;IFSp;lateral;lh_L_IFSp;4
50;left;IFSa;lateral;lh_L_IFSa;
51;left;p9-46v;lateral;lh_L_p9-46v;
52;left;46;lateral;lh_L_46;3
53;left;a9-46v;lateral;lh_L_a9-46v;3
54;left;9-46d;lateral;lh_L_9-46d;1
55;left;9a;lateral;lh_L_9a;1
56;left;a10p;lateral;lh_L_a10p;
57;left;11l;lateral;lh_L_11l;
58;left;13l;lateral;lh_L_13l;
59;left;47s;lateral;lh_L_47s;1
60;left;LIPd;lateral;lh_L_LIPd;
61;left;6a;lateral;lh_L_6a;4
62;left;i6-8;lateral;lh_L_i6-8;
63;left;s6-8;lateral;lh_L_s6-8;
64;left;43;lateral;lh_L_43;
65;left;OP4;lateral;lh_L_OP4;
66;left;OP1;lateral;lh_L_OP1;
67;left;OP2-3;lateral;lh_L_OP2-3;2
68;left;52;lateral;lh_L_52;
69;left;RI;lateral;lh_L_RI;
70;left;PFcm;lateral;lh_L_PFcm;2
71;left;PoI2;lateral;lh_L_PoI2;4
72;left;TA2;lateral;lh_L_TA2;
73;left;FOP4;lateral;lh_L_FOP4;
74;left;MI;lateral;lh_L_MI;4
75;left;Pir;lateral;lh_L_Pir;
76;left;AVI;lateral;lh_L_AVI;
77;left;AAIC;lateral;lh_L_AAIC;
78;left;FOP1;lateral;lh_L_FOP1;
79;left;FOP3;lateral;lh_L_FOP3;
80;left;FOP2;lateral;lh_L_FOP2;
81;left;PFt;lateral;lh_L_PFt;
82;left;AIP;lateral;lh_L_AIP;2
83;left;STGa;lateral;lh_L_STGa;3
84;left;PBelt;lateral;lh_L_PBelt;3
85;left;A5;lateral;lh_L_A5;3
86;left;STSda;lateral;lh_L_STSda;1
87;left;STSdp;lateral;lh_L_STSdp;
88;left;STSvp;lateral;lh_L_STSvp;1
89;left;TGd;lateral;lh_L_TGd;1
90;left;TE1a;lateral;lh_L_TE1a;
91;left;TE1p;lateral;lh_L_TE1p;1
92;left;TE2a;lateral;lh_L_TE2a;5
93;left;TE2p;lateral;lh_L_TE2p;4
94;left;PHT;lateral;lh_L_PHT;
95;left;PH;lateral;lh_L_PH;
96;left;TPOJ1;lateral;lh_L_TPOJ1;1
97;left;TPOJ2;lateral;lh_L_TPOJ2;3
98;left;TPOJ3;lateral;lh_L_TPOJ3;1
99;left;PGp;lateral;lh_L_PGp;
100;left;IP2;lateral;lh_L_IP2;4
101;left;IP1;lateral;lh_L_IP1;4
102;left;IP0;lateral;lh_L_IP0;
103;left;PFop;lateral;lh_L_PFop;2
104;left;PF;lateral;lh_L_PF;2
105;left;PFm;lateral;lh_L_PFm;4
106;left;PGi;lateral;lh_L_PGi;1
107;left;PGs;lateral;lh_L_PGs;4
108;left;V4t;lateral;lh_L_V4t;
109;left;FST;lateral;lh_L_FST;
110;left;V3CD;lateral;lh_L_V3CD;
111;left;LO3;lateral;lh_L_LO3;
112;left;PoI1;lateral;lh_L_PoI1;
113;left;Ig;lateral;lh_L_Ig;2
114;left;FOP5;lateral;lh_L_FOP5;
115;left;p10p;lateral;lh_L_p10p;
116;left;p47r;lateral;lh_L_p47r;4
117;left;TGv;lateral;lh_L_TGv;1
118;left;MBelt;lateral;lh_L_MBelt;3
119;left;LBelt;lateral;lh_L_LBelt;
120;left;A4;lateral;lh_L_A4;4
121;left;STSva;lateral;lh_L_STSva;
122;left;TE1m;lateral;lh_L_TE1m;
123;left;PI;lateral;lh_L_PI;
